,10,25,50,75,90
0.0833,7.7038,7.5188,7.4975,7.8063,8.1913
0.25,7.7588,7.495,7.435,7.79,8.2663
0.5,7.985,7.57,7.435,7.82,8.425
1,8.65,7.9113,7.62,7.9888,8.77
