,10,25,50,75,90
0.0833,8.2825,7.9538,7.7925,7.9963,8.3525
0.25,8.3088,7.9488,7.855,8.2263,8.7913
0.5,8.4763,8.0813,8.0175,8.5138,9.2388
1,8.8613,8.3675,8.3425,9.0425,10.0738
